Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
Holisol,Delhi,Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"BlackSoil, CLSA Capital Partners",3000000.0,Seed,2021
Fable Fintech,Mumbai,FinTech,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Paytm,3500000.0,Series A,2021
Flatheads,Bengaluru,Fashion,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,"Pankaj Chaddah, Srivatsan Rajan",3500000.0,Seed,2021
DGV,Bengaluru,Information Technology & Services,NeoBanking for Bharat,"Info Edge Ventures, Omnivore",3000000.0,Pre-series A,2021
Capital Float,Bengaluru,FinTech,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Triodos Investment Management, SAIF Partners",6000000.0,Seed,2021
Kwik Foods,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,9Unicorns,3500000.0,Seed,2021
IntelleWings,Panchkula,IT startup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Undisclosed,100000.0,Seed,2021
Refyne,Bengaluru,FinTech,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"DST Global, RTP Global",20000000.0,Series A,2021
Junio,Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021
Convosight,Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Qualgro,9000000.0,Series A,2021
BYJU'S,Bengaluru,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Tiga Investments, Baron Capital",350000000.0,Seed,2021
Jumbotail,Bengaluru,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,Alteria Capital,4000000.0,Debt,2021
Dropshop,Bengaluru,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,Inflection Point Ventures,1000000.0,Pre-series A,2021
SimpliContract,Bengaluru,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",Kalaari Capital,1800000.0,Seed,2021
Chqbook,Delhi,FinTech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Seed,2021
Pee Safe,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-series B,2021
Wellbeing Nutrition,Mumbai,HealthCare,Organic whole food nutrition to keep up with the pace at which we live,Klub,3500000.0,Seed,2021
Cell Propulsion,Bengaluru,EV startup,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,growX ventures,2000000.0,Seed,2021
CustomerGlu,Bengaluru,CRM,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Kumar Aakash, Amit Singhal",320000.0,Seed,2021
Kale Logistics,Thane,Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,Inflexor Ventures,5000000.0,Series A,2021
Leverage Edu,Delhi,EdTech,AI-enabled marketplace designed to help students with their higher education and career growth plans,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Debt,2021
MentorKart,Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Amit Singal, Manish Aggarwal",150000.0,Seed,2021
Greenjoules,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,Blue Ashva Capital,4500000.0,Series A,2021
Shyplite,Delhi,Logistics,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,N+1 Capital,1000000.0,Seed,2021
Plutomen,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,"GUSEC Seed Fund, DeVX Venture Fund",300000.0,Seed,2021
GoMechanic,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.","Tiger Global, Sequoia",42000000.0,Series C,2021
Grinntech,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",Undisclosed,2000000.0,Seed,2021
Settlrs,Bengaluru,Rental space,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",MaGEHold Pte. Ltd.,3500000.0,Pre-series A,2021
Five Star Finance,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,"TPG Capital Asia, Epiq Capital",234000000.0,Seed,2021
Anar Business Community,Mumbai,Tech Startup,Anar is a communications and networking platform for businesses around the world.,"Titan Capital, First Cheque",3500000.0,Seed,2021
Homingos,Bengaluru,Augmented reality,Homingos is an Augmented reality (AR)-based social networking platform.,"Sundi Natarajan, Srinivas Anumolu",3500000.0,Seed,2021
DotPe,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google",27000000.0,Series A,2021
Bombay Shaving Company,Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Rajesh Sud, KULDEEP JAIN",2000000.0,Seed,2021
ReshaMandi,Bengaluru,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures",1700000.0,Seed,2021
Janani,Bengaluru,Heathcare,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund",1000000.0,Seed,2021
CityMall,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners",11000000.0,Series A,2021
Moneyboxx,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital",3000000.0,Debt,2021
Rupifi,Bengaluru,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,4100000.0,Pre-series A,2021
Instoried,Bengaluru,Content creation,Instoried is an augmented writing platform which improves customer interest and engagement.,"EXPERT DOJO, Mumbai Angels",3500000.0,Seed,2021
Safex Chemicals,Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,BanyanTree Finance Pvt. Ltd.,50000000.0,Seed,2021
